,Season End Year,League,Nº Teams,Total Stadiums Capacity,TSC_%,Average Stadiums Capacity,ASC_%,Total Attendance,TA_%,Average Attendance,AA_%,Average Capacity Ocupation,ACO_%
78,2003,Bundesliga,18,836582.0,-0.0005161203994198393,46477.0,-0.0005161179329477017,10447982,0.033123184825245344,34144,0.03313262125934213,0.7346,0.03362881665963146
79,2004,Bundesliga,18,863039.0,0.031625112660803145,47947.0,0.031628547453579126,11442726,0.0952091992501518,37395,0.09521438612933464,0.7799,0.06166621290498231
80,2005,Bundesliga,18,857054.0,-0.006934796689373246,47614.0,-0.006945168623688658,11570634,0.011178105636716396,37813,0.011177964968578593,0.7942,0.01833568406205921
81,2006,Bundesliga,18,909457.0,0.06114317184214758,50525.0,0.06113748057294077,12478319,0.07844730029486713,40779,0.07843863221643342,0.8071,0.016242760010072962
82,2007,Bundesliga,18,861192.0,-0.05307012865918892,47844.0,-0.053062840178129685,12226795,-0.020156881708185196,39957,-0.020157433973368662,0.8352,0.034816007929624686
83,2008,Bundesliga,18,816042.0,-0.05242733327759663,45336.0,-0.05242036619011792,12069813,-0.012839178214732459,39444,-0.012838801711840264,0.87,0.04166666666666652
84,2009,Bundesliga,18,839712.0,0.029005859992500493,46651.0,0.029005646726663063,13011578,0.07802647812356334,42521,0.07800932968258789,0.9115,0.04770114942528725
85,2010,Bundesliga,18,883339.0,0.05195471780801042,49074.0,0.051938865190456866,13001871,-0.0007460278837816414,42490,-0.0007290515274804843,0.8658,-0.050137136588041635
86,2011,Bundesliga,18,860487.0,-0.02587002272060901,47805.0,-0.02585890695684068,13054960,0.004083181566714611,42663,0.0040715462461755605,0.8924,0.03072303072303062
87,2012,Bundesliga,18,884750.0,0.02819682342673402,49153.0,0.028197887250287712,13805496,0.05749048637452736,45116,0.05749712865949407,0.9179,0.028574630210667976
88,2013,Bundesliga,18,832977.0,-0.05851709522463978,46277.0,-0.058511179378674776,13042590,-0.05526103517034087,42623,-0.05525755829417501,0.9211,0.0034862185423247816
89,2014,Bundesliga,18,859725.0,0.03211133080505224,47763.0,0.032110983858071984,13310270,0.020523530985793403,43498,0.020528822466743257,0.9107,-0.011290847899250944
90,2015,Bundesliga,18,851400.0,-0.009683328971473393,47300.0,-0.009693695957121662,13321486,0.0008426575869611153,43534,0.0008276242585865122,0.9204,0.01065114746897988
91,2016,Bundesliga,18,845600.0,-0.00681230913789055,46978.0,-0.006807610993657454,13249778,-0.0053828829606547,43300,-0.005375109110120846,0.9217,0.0014124293785311435
92,2017,Bundesliga,18,802297.0,-0.0512097918637654,44572.0,-0.05121546255694154,12703927,-0.04119699213073613,41516,-0.04120092378752882,0.9314,0.010524031680590351
93,2018,Bundesliga,18,878546.0,0.09503837107704503,48808.0,0.09503724311226767,13661796,0.07539944144830169,44646,0.0753926197128818,0.9147,-0.01792999785269489
94,2019,Bundesliga,18,876146.0,-0.002731786383410761,48675.0,-0.0027249631207998393,13295405,-0.026818655468139,43449,-0.026810912511759155,0.8926,-0.0241609270799169
95,2020,Bundesliga,18,803709.0,-0.08267685979277427,44651.0,-0.08267077555213154,9112950,-0.3145789842430524,29781,-0.3145757094524615,0.667,-0.2527447904996638
96,1997,Serie A,18,724753.0,,40264.0,,9156866,,29924,,0.7432,
97,1998,Serie A,18,748768.0,0.0331354268281745,41598.0,0.03313133320087425,9424350,0.029211304391699056,30799,0.02924074321614767,0.7404,-0.0037674919268030353
98,1999,Serie A,18,703563.0,-0.0603725052352665,39087.0,-0.0603634790134141,9419805,-0.00048226137611617764,30784,-0.00048702879963635764,0.7876,0.06374932468935722
99,2000,Serie A,18,722059.0,0.026289045899229983,40114.0,0.02627472049530533,9218788,-0.021339826036738563,30127,-0.021342255717255683,0.7509999999999999,-0.04647028948704923
100,2001,Serie A,18,758516.0,0.050490333892382784,42140.0,0.05050605773545391,8917603,-0.03267078058417228,29142,-0.0326949248182693,0.6916,-0.07909454061251664
101,2002,Serie A,18,700080.0,-0.07703990423405704,38893.0,-0.07705268153773137,8087497,-0.0930862250764023,26430,-0.09306156063413627,0.6796,-0.017351069982648903
102,2003,Serie A,18,649602.0,-0.07210318820706207,36089.0,-0.07209523564651732,7831250,-0.031684339419229435,25592,-0.03170639424895949,0.7091,0.04340788699234843
103,2004,Serie A,18,661401.0,0.018163429299786538,36745.0,0.01817728393693363,7893451,0.007942665602553856,25796,0.007971241012816543,0.7020000000000001,-0.010012692144972468
104,2005,Serie A,20,758627.0,0.14700008013292987,37931.0,0.03227650020410944,9839475,0.2465365275593654,25893,0.003760272910528828,0.6826,-0.027635327635327608
