Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2018S003812    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;180;A Zona Franca                                     ;45;Dimecres;Dc;Laboral;2018;5;Maig;16;9;Matí;No és causa del  vianant;0;0;1;1;2;427951.73 ;4576184.01;2.137.862;41.332.074
2018S006674    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700127;Major de Mercabarna                               ;72-76     ;Dimarts;Dm;Laboral;2018;9;Setembre;4;10;Matí;No és causa del  vianant;0;1;0;1;2;426026.6  ;4576056.67;2.114.873;41.330.753
2018S009429    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700134;Tranversal 8 / Longitudinal 8                     ;0;Dilluns;Dl;Laboral;2018;12;Desembre;10;11;Matí;No és causa del  vianant;0;1;0;1;1;425907.11 ;4576216.36;2.113.426;4.133.218
2018S003030    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700133;Transversal 5                                     ;1;Divendres;Dv;Laboral;2018;4;Abril;20;11;Matí;No és causa del  vianant;0;1;0;1;1;426218.8  ;4576318.81;2.117.138;41.333.131
2018S000070    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700133;Transversal 5 / Longitudinal 3                    ;6;Dijous;Dj;Laboral;2018;1;Gener;4;9;Matí;No és causa del  vianant;0;1;0;1;1;426238.17 ;4576289.95;2.117.373;41.332.873
2018S001482    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;30089;B Zona Franca                                     ;19;Divendres;Dv;Laboral;2018;2;Febrer;23;21;Tarda;No és causa del  vianant;0;1;0;1;3;427793.2  ;4576224.49;2.135.962;41.332.424
2018S007557    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700127;Major de Mercabarna                               ;66;Dissabte;Ds;Laboral;2018;10;Octubre;6;3;Nit;No és causa del  vianant;0;1;0;1;2;426146.49 ;4576286.04;2.116.278;41.332.829
2018S009706    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700133;Longitudinal 3                                    ;0;Dimecres;Dc;Laboral;2018;12;Desembre;19;13;Matí;No és causa del  vianant;0;1;0;1;2;426305.65 ;4576150.39;2.118.196;41.331.622
2018S009625    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370203;Número 3 Zona Franca                              ;51;Dilluns;Dl;Laboral;2018;12;Desembre;17;8;Matí;No és causa del  vianant;0;1;0;1;2;427915.43 ;4576297.4 ;2.137.414;41.333.092
2018S006030    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370203;A Zona Franca                                     ;49;Dissabte;Ds;Laboral;2018;8;Agost;4;0;Nit;No és causa del  vianant;0;1;0;1;1;427951.73 ;4576184.01;2.137.862;41.332.074
2018S001266    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;96780;D Zona Franca                                     ;50;Dijous;Dj;Laboral;2018;2;Febrer;15;21;Tarda;No és causa del  vianant;0;1;0;1;2;427360.91 ;4576288.14;2.130.789;41.332.959
