"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2018","247.34","249.48","249.58","246.25","1.64M","-1.60%"
"May 14, 2018","251.35","252.60","253.78","250.75","1.05M","0.18%"
"May 11, 2018","250.90","248.22","252.20","247.97","1.94M","1.29%"
"May 10, 2018","247.70","244.65","248.21","244.45","1.23M","1.45%"
"May 09, 2018","244.17","243.11","244.31","241.08","1.39M","0.92%"
"May 08, 2018","241.95","240.98","245.33","240.90","1.68M","-0.48%"
"May 07, 2018","243.12","245.69","246.72","242.31","1.31M","-0.74%"
"May 04, 2018","244.94","240.55","246.14","238.57","989.54K","1.15%"
"May 03, 2018","242.15","239.25","243.80","236.61","1.36M","0.64%"
"May 02, 2018","240.60","243.78","243.91","238.74","1.46M","-1.66%"
"May 01, 2018","244.66","247.23","248.31","243.26","1.60M","-1.03%"
"Apr 30, 2018","247.20","251.09","252.94","246.67","1.60M","-1.25%"
"Apr 27, 2018","250.33","246.93","250.89","245.71","1.24M","1.38%"
"Apr 26, 2018","246.93","247.20","250.54","244.59","1.71M","0.01%"
"Apr 25, 2018","246.90","245.47","248.01","243.57","1.32M","0.55%"
"Apr 24, 2018","245.56","250.39","253.89","243.24","1.82M","-1.31%"
"Apr 23, 2018","248.82","247.34","249.38","246.67","813.93K","0.69%"
"Apr 20, 2018","247.12","251.71","252.47","245.50","1.51M","-1.78%"
"Apr 19, 2018","251.59","254.98","254.98","249.59","1.48M","-1.54%"
"Apr 18, 2018","255.53","252.23","257.47","250.03","2.19M","1.40%"
"Apr 17, 2018","252.00","251.72","253.15","250.38","1.35M","0.79%"
"Apr 16, 2018","250.03","245.62","251.08","245.62","1.42M","2.27%"
"Apr 13, 2018","244.49","243.62","246.95","243.10","1.65M","1.07%"
"Apr 12, 2018","241.91","239.54","243.58","239.43","1.17M","1.64%"
"Apr 11, 2018","238.00","236.12","238.91","235.78","905.99K","0.00%"
"Apr 10, 2018","238.00","238.00","240.75","236.95","1.67M","1.57%"
"Apr 09, 2018","234.32","235.70","238.38","234.06","1.39M","0.01%"
"Apr 06, 2018","234.29","239.28","239.63","231.71","1.45M","-2.81%"
"Apr 05, 2018","241.07","239.31","241.94","237.19","1.15M","0.97%"
"Apr 04, 2018","238.76","236.51","239.10","232.53","2.03M","-0.95%"
"Apr 03, 2018","241.04","239.22","241.29","237.08","1.54M","1.06%"
"Apr 02, 2018","238.50","239.19","241.88","235.20","2.06M","-0.67%"
"Mar 29, 2018","240.11","236.94","242.58","236.80","1.92M","2.26%"
"Mar 28, 2018","234.80","234.64","237.00","232.43","1.88M","0.07%"
"Mar 27, 2018","234.64","240.32","241.27","233.18","1.91M","-2.17%"
"Mar 26, 2018","239.85","233.75","240.09","231.52","2.66M","4.52%"
"Mar 23, 2018","229.48","237.06","238.74","228.90","2.67M","-2.87%"
"Mar 22, 2018","236.27","246.00","246.00","235.39","4.25M","-5.12%"
"Mar 21, 2018","249.02","252.25","258.00","249.01","4.84M","-1.18%"
"Mar 20, 2018","251.99","250.55","254.01","249.38","3.40M","0.95%"
"Mar 19, 2018","249.61","251.22","252.80","246.30","1.98M","-0.96%"
"Mar 16, 2018","252.03","248.49","254.12","248.02","2.17M","1.87%"
"Mar 15, 2018","247.40","247.55","251.62","247.22","1.73M","0.20%"
"Mar 14, 2018","246.91","252.24","252.50","246.57","1.54M","-1.54%"
"Mar 13, 2018","250.77","247.58","252.74","246.78","1.95M","1.72%"
