Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_ any;Nom_mes;Dia_mes;Descripcio_torn;Hora_dia;Descripcio_causa_vianant;Desc_Tipus_vehicle_implicat;Descripcio_sexe;Edat;Descripcio_tipus_persona;Descripcio_situacio;Descripcio_victimitzacio;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2017S002202    ;2;Eixample;9;la Nova Esquerra de l'Eixample;285807;Rocafort;0091 0091;Dissabte;Ds;Laboral;2017;3;Març;18;Nit;23;Altres;Taxi;Home;43;Vianant;Desconegut;Ferit lleu;429278,77;4581414,29;2.153.099;41.379.297
2017S002203    ;2;Eixample;7;la Dreta de l'Eixample;74506;Catalunya;0069 0069;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;21;Altres;Motocicleta;Home;25;Conductor;Presentado;Ferit lleu;430097,92;4582748,01;2.162.739;41.391.383
2017S002204    ;7;Horta-Guinardó;37;el Carmel;182600;Lluís Marià Vidal;0088 0088;Diumenge;Dg;Laboral;2017;3;Març;19;Nit;0;No és causa del  vianant;Motocicleta;Home;40;Conductor;Presentado;Ferit lleu;429695,03;4586156,28;2.157.535;41.422.043
2017S002205    ;7;Horta-Guinardó;35;el Guinardó;141807;Garrotxa;0018 0018;Divendres;Dv;Laboral;2017;3;Març;17;Matí;12;No és causa del  vianant;Furgoneta;Home;49;Conductor;Presentado;Ferit lleu;431532,11;4585959,6;2.179.538;41.420.427
2017S002206    ;2;Eixample;10;Sant Antoni;110803;Entença;0003 0003;Diumenge;Dg;Laboral;2017;3;Març;19;Matí;11;No és causa del  vianant;Motocicleta;Dona;29;Conductor;Presentado;Ferit lleu;429512,93;4580983,75;2.155.948;41.375.435
2017S002207    ;3;Sants-Montjuïc;11;el Poble-sec;316809;Santa Madrona;0012 0012;Diumenge;Dg;Laboral;2017;3;Març;19;Matí;9;No és causa del  vianant;Motocicleta;Dona;23;Conductor;Presentado;Ferit lleu;429676,55;4580086,25;2.158.013;41.367.371
2017S002208    ;2;Eixample;9;la Nova Esquerra de l'Eixample;-1;Desconegut;Desconegut;Diumenge;Dg;Laboral;2017;3;Març;19;Matí;12;No és causa del  vianant;Motocicleta;Home;37;Conductor;Presentado;Ferit lleu;428693;4582028.73;2.146.032;41.384.782
2017S002209    ;2;Eixample;5;el Fort Pienc;197302;Marina;0140 0140;Diumenge;Dg;Laboral;2017;3;Març;19;Matí;13;No és causa del  vianant;Bicicleta;Home;55;Conductor;Presentado;Ferit lleu;431882,25;4583392,63;2.184.015;41.397.337
2017S002210    ;6;Gràcia;31;la Vila de Gràcia;176700;Llorer;0016 0018;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;14;No és causa del  vianant;Motocicleta;Home;50;Conductor;Presentado;Ferit lleu;429799,72;4584758,83;2.158.942;41.409.461
2017S002211    ;2;Eixample;10;Sant Antoni;361406;Viladomat;0098 0098;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;15;No és causa del  vianant;Ciclomotor;Home;18;Conductor;Presentado;Ferit lleu;429676,17;4581423,34;2.157.858;41.379.413
2017S002212    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;196106;Maria Auxiliadora;0006 0006;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;19;No és causa del  vianant;Ciclomotor;Dona;15;Passatger;Desconegut;Ferit lleu;427316,27;4583237,58;2.129.419;41.395.541
2017S002212    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;196106;Maria Auxiliadora;0006 0006;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;19;No és causa del  vianant;Ciclomotor;Home;23;Conductor;Presentado;Ferit lleu;427316,27;4583237,58;2.129.419;41.395.541
2017S002213    ;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;0574 0578;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;19;No és causa del  vianant;Turismo;Dona;25;Passatger;Desconegut;Ferit lleu;432155,63;4588399,45;2.186.719;41.442.456
2017S002213    ;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;0574 0578;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;19;No és causa del  vianant;Turismo;Home;68;Conductor;Presentado;Ferit lleu;432155,63;4588399,45;2.186.719;41.442.456
2017S002214    ;9;Sant Andreu;60;Sant Andreu;168100;Joaquim Rita;0023I0023I;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;19;No és causa del  vianant;Motocicleta;Dona;41;Conductor;Presentado;Ferit lleu;431983,52;4587177,91;2.184.798;41.431.436
2017S002215    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0393 0393;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;19;No és causa del  vianant;Bicicleta;Dona;23;Conductor;Presentado;Ferit lleu;431042,7;4583608,15;2.173.943;41.399.211
2017S002216    ;2;Eixample;7;la Dreta de l'Eixample;63204;Caputxins;0002 0002;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;20;No és causa del  vianant;Ciclomotor;Dona;29;Passatger;Desconegut;Ferit lleu;430282,01;4583743,05;2.164.837;41.400.361
