"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Euros/m2 construït",5361.8
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Euros/m2 construït",3429.4
2018,1,6,"Gràcia",29,"el Coll","Total. Euros/m2 construït",2288.5
2018,1,6,"Gràcia",30,"la Salut","Total. Euros/m2 construït",3882
2018,1,6,"Gràcia",31,"la Vila de Gràcia","Total. Euros/m2 construït",4535.1
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Euros/m2 construït",4339.6
2018,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Euros/m2 construït",4058.4
2018,1,7,"Horta-Guinardó",34,"Can Baró","Total. Euros/m2 construït",2623.3
2018,1,7,"Horta-Guinardó",35,"el Guinardó","Total. Euros/m2 construït",3568.8
2018,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Euros/m2 construït",3737.2
2018,1,7,"Horta-Guinardó",37,"el Carmel","Total. Euros/m2 construït",2274.3
2018,1,7,"Horta-Guinardó",38,"la Teixonera","Total. Euros/m2 construït",2206.7
2018,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total. Euros/m2 construït",2133.1
2018,1,7,"Horta-Guinardó",40,"Montbau","Total. Euros/m2 construït",2564.6
2018,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total. Euros/m2 construït",3631.3
2018,1,7,"Horta-Guinardó",42,"la Clota","Total. Euros/m2 construït",NA
2018,1,7,"Horta-Guinardó",43,"Horta","Total. Euros/m2 construït",2941.6
2018,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total. Euros/m2 construït",3209.9
2018,1,8,"Nou Barris",45,"Porta","Total. Euros/m2 construït",2052.2
2018,1,8,"Nou Barris",46,"el Turó de la Peira","Total. Euros/m2 construït",1914.9
2018,1,8,"Nou Barris",47,"Can Peguera","Total. Euros/m2 construït",NA
2018,1,8,"Nou Barris",48,"la Guineueta","Total. Euros/m2 construït",2246.7
2018,1,8,"Nou Barris",49,"Canyelles","Total. Euros/m2 construït",2261
2018,1,8,"Nou Barris",50,"les Roquetes","Total. Euros/m2 construït",2180.3
2018,1,8,"Nou Barris",51,"Verdun","Total. Euros/m2 construït",1938
2018,1,8,"Nou Barris",52,"la Prosperitat","Total. Euros/m2 construït",2453.1
2018,1,8,"Nou Barris",53,"la Trinitat Nova","Total. Euros/m2 construït",1607.7
2018,1,8,"Nou Barris",54,"Torre Baró","Total. Euros/m2 construït",NA
2018,1,8,"Nou Barris",55,"Ciutat Meridiana","Total. Euros/m2 construït",1646.6
2018,1,8,"Nou Barris",56,"Vallbona","Total. Euros/m2 construït",NA
2018,1,9,"Sant Andreu",57,"la Trinitat Vella","Total. Euros/m2 construït",1825.3
2018,1,9,"Sant Andreu",58,"Baró de Viver","Total. Euros/m2 construït",NA
2018,1,9,"Sant Andreu",59,"el Bon Pastor","Total. Euros/m2 construït",2512.5
2018,1,9,"Sant Andreu",60,"Sant Andreu","Total. Euros/m2 construït",3021.5
2018,1,9,"Sant Andreu",61,"la Sagrera","Total. Euros/m2 construït",3739.7
2018,1,9,"Sant Andreu",62,"el Congrés i els Indians","Total. Euros/m2 construït",2300.3
2018,1,9,"Sant Andreu",63,"Navas","Total. Euros/m2 construït",4127.6
2018,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Total. Euros/m2 construït",4224.5
2018,1,10,"Sant Martí",65,"el Clot","Total. Euros/m2 construït",3880.5
2018,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Total. Euros/m2 construït",4196.6
2018,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Total. Euros/m2 construït",4188.1
2018,1,10,"Sant Martí",68,"el Poblenou","Total. Euros/m2 construït",3901.2
2018,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Total. Euros/m2 construït",5032.1
2018,1,10,"Sant Martí",70,"el Besòs i el Maresme","Total. Euros/m2 construït",3077.1
2018,1,10,"Sant Martí",71,"Provençals del Poblenou","Total. Euros/m2 construït",3904.5
2018,1,10,"Sant Martí",72,"Sant Martí de Provençals","Total. Euros/m2 construït",3486.5
2018,1,10,"Sant Martí",73,"la Verneda i la Pau","Total. Euros/m2 construït",2183.6
2018,1,1,"Ciutat Vella",1,"el Raval","Nou. Euros/m2 construït",NA
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic","Nou. Euros/m2 construït",10440.1
2018,1,1,"Ciutat Vella",3,"la Barceloneta","Nou. Euros/m2 construït",5546.3
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nou. Euros/m2 construït",7421.5
2018,1,2,"Eixample",5,"el Fort Pienc","Nou. Euros/m2 construït",NA
2018,1,2,"Eixample",6,"la Sagrada Família","Nou. Euros/m2 construït",NA
2018,1,2,"Eixample",7,"la Dreta de l'Eixample","Nou. Euros/m2 construït",2592.4
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nou. Euros/m2 construït",4656.8
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Nou. Euros/m2 construït",3316.8
2018,1,2,"Eixample",10,"Sant Antoni","Nou. Euros/m2 construït",NA
