,dates,prices
800,"February 19, 2020","$2,775"
801,"February 14, 2020","$2,200"
802,"February 14, 2020","$1,705"
803,"February 14, 2020","$1,750"
804,"February 13, 2020","$2,499"
805,"February 12, 2020","$2,898"
806,"February 12, 2020","$2,775"
807,"February 11, 2020","$2,402"
808,"February 11, 2020","$3,225"
809,"February 11, 2020","$1,975"
810,"February 19, 2020","$2,775"
811,"February 14, 2020","$2,200"
812,"February 14, 2020","$1,705"
813,"February 14, 2020","$1,750"
814,"February 13, 2020","$2,499"
815,"February 12, 2020","$2,898"
816,"February 12, 2020","$2,775"
817,"February 11, 2020","$2,402"
818,"February 11, 2020","$3,225"
819,"February 11, 2020","$1,975"
820,"February 19, 2020","$2,775"
