Date, Close/Last, Volume, Open, High, Low
09/15/2017, $171.64, 15643240, $170.88, $172.34, $170.26
09/14/2017, $170.96, 15564130, $172.26, $172.28, $170.5
09/13/2017, $173.05, 9112378, $173.01, $173.17, $172.06
09/12/2017, $172.96, 11179730, $173.76, $174, $171.75
09/11/2017, $173.51, 12353760, $172.4, $173.89, $172.2
09/08/2017, $170.95, 10985350, $173.09, $173.49, $170.8
09/07/2017, $173.21, 18039640, $171.94, $173.3067, $170.27
09/06/2017, $172.09, 13886740, $170.91, $172.48, $169.57
09/05/2017, $170.72, 13214940, $171.27, $172.3875, $169.55
09/01/2017, $172.02, 11663360, $172.4, $172.915, $171.31
08/31/2017, $171.97, 17216280, $170.4, $172.145, $170.06
08/30/2017, $169.92, 11117630, $168.17, $170.18, $167.63
08/29/2017, $168.05, 11111780, $165.25, $168.425, $165
08/28/2017, $167.24, 8477431, $166.91, $167.7, $166.33
08/25/2017, $166.32, 12589850, $167.86, $168.38, $166.18
08/24/2017, $167.74, 14015950, $168.88, $169.29, $166.41
08/23/2017, $168.71, 9838383, $168.84, $169.36, $168.2
08/22/2017, $169.64, 11377350, $168.28, $169.87, $167.15
08/21/2017, $167.78, 11898620, $167.16, $168, $165.82
08/18/2017, $167.41, 15065590, $166.84, $168.67, $166.21
08/17/2017, $166.91, 17009420, $169.34, $169.86, $166.85
08/16/2017, $170, 15732840, $171.25, $171.38, $169.24
08/15/2017, $171, 8713651, $171.49, $171.5, $170.01
08/14/2017, $170.75, 12940140, $170.09, $171.08, $169.29
08/11/2017, $168.08, 13778190, $167.95, $168.82, $166.85
08/10/2017, $167.4, 20551720, $170.06, $170.59, $166.85
08/09/2017, $171.18, 10800730, $169.98, $171.45, $169.56
08/08/2017, $171.23, 14317200, $171.88, $173.05, $170.62
08/07/2017, $171.98, 12765230, $169.95, $172.06, $169.66
08/04/2017, $169.62, 10505980, $168.97, $170.06, $168.69
08/03/2017, $168.59, 10519470, $169.3, $169.7, $168.25
08/02/2017, $169.3, 17181110, $170.3, $170.55, $166.91
08/01/2017, $169.86, 14286110, $169.82, $170.47, $169.05
07/31/2017, $169.25, 25429310, $172, $172.72, $168.55
07/28/2017, $172.45, 24546680, $169.07, $173.43, $169.05
07/27/2017, $170.44, 68454830, $174.7, $175.49, $167.5
07/26/2017, $165.61, 32989200, $166.01, $166.01, $164.1
07/25/2017, $165.28, 15309000, $165.01, $165.54, $163.8619
07/24/2017, $166, 17208500, $164.64, $166.17, $164.31
07/21/2017, $164.43, 14712450, $164.16, $165.05, $163.75
07/20/2017, $164.53, 18409730, $164.8, $165, $162.81
07/19/2017, $164.14, 26144510, $163.59, $165.7, $163.17
07/18/2017, $162.86, 23686800, $159.66, $163.73, $159.42
07/17/2017, $159.73, 12757430, $160.25, $160.78, $158.81
07/14/2017, $159.97, 16305570, $160.13, $160.32, $159.3254
07/13/2017, $159.26, 13912150, $158.74, $159.78, $158.4227
07/12/2017, $158.9, 22710090, $156.49, $159.16, $156.2
07/11/2017, $155.27, 13652540, $153.37, $155.4225, $152.91
07/10/2017, $153.5, 13326410, $151.69, $153.98, $151.51
07/07/2017, $151.44, 13249750, $149.25, $151.99, $149.19
07/06/2017, $148.82, 14934450, $149.03, $150.04, $148
07/05/2017, $150.34, 14321330, $149, $150.85, $148.13
07/03/2017, $148.43, 13862740, $151.72, $152.15, $147.8
06/30/2017, $150.98, 14909670, $151.9, $151.92, $150.06
06/29/2017, $151.04, 23948630, $152.28, $152.5, $148.9175
06/28/2017, $153.24, 16696230, $150.92, $153.47, $149.86
06/27/2017, $150.58, 19351560, $152.84, $153.31, $150.39
06/26/2017, $153.59, 18030200, $156.25, $156.5, $153.1954
06/23/2017, $155.07, 17897280, $152.72, $155.2, $152.65
06/22/2017, $153.4, 12835380, $153.01, $154.55, $152.91
06/21/2017, $153.91, 14943770, $152.36, $154.08, $151.88
06/20/2017, $152.25, 14733590, $152.88, $153.84, $152.21
06/19/2017, $152.87, 18944190, $151.71, $153.57, $151.71
06/16/2017, $150.64, 22843010, $149.59, $150.83, $148.6
06/15/2017, $149.8, 18956910, $147.67, $150.0366, $146.3747
06/14/2017, $150.25, 20774910, $151.26, $152.4, $149.05
06/13/2017, $150.68, 20474720, $150.15, $151.18, $148.9
06/12/2017, $148.44, 33150610, $148.17, $149.195, $144.56
06/09/2017, $149.6, 35541670, $154.77, $155.59, $146.61
06/08/2017, $154.71, 17795860, $154.08, $154.73, $153.1
06/07/2017, $153.12, 12040430, $153.27, $153.75, $152.34
06/06/2017, $152.81, 13443610, $153.41, $154.52, $152.48
06/05/2017, $153.63, 12504820, $153.64, $154.7088, $153.41
06/02/2017, $153.61, 16838650, $151.85, $153.63, $151.3
06/01/2017, $151.53, 14511530, $151.75, $152.29, $150.3
05/31/2017, $151.46, 18001140, $152.7, $153.35, $151.09
05/30/2017, $152.38, 13213700, $151.97, $152.9, $151.64
05/26/2017, $152.13, 14984540, $152.23, $152.25, $151.15
05/25/2017, $151.96, 19827210, $150.3, $152.59, $149.95
05/24/2017, $150.04, 17914740, $148.51, $150.23, $148.42
05/23/2017, $148.07, 12807840, $148.52, $148.81, $147.25
05/22/2017, $148.24, 12578390, $148.08, $148.59, $147.69
05/19/2017, $148.06, 16165160, $148.445, $149.39, $147.96
05/18/2017, $147.66, 22778870, $144.72, $148.15, $144.51
05/17/2017, $144.85, 28232610, $148, $148.67, $144.4216
05/16/2017, $149.78, 14506870, $150.11, $150.21, $149.03
05/15/2017, $150.19, 14952950, $150.17, $151.48, $149.77
05/12/2017, $150.33, 9584769, $150.4, $150.46, $149.63
05/11/2017, $150.04, 11832750, $150.31, $150.65, $149.41
05/10/2017, $150.29, 11994140, $150.23, $150.52, $148.86
05/09/2017, $150.48, 17381800, $151.49, $152.59, $150.21
05/08/2017, $151.06, 15813350, $150.71, $151.08, $149.74
