,metascore,name,console,playerscore,date,genre,brand
7107,5.9,NBA Live 16,PS4,6.0,2015-09-29,Sports,Sony
7108,5.9,Fantasy Hero: Unsigned Legacy,VITA,0.0,2014-12-02,Role-Playing,Sony
7109,5.9,NHL 15,XONE,3.2,2014-09-09,Sports,Microsoft
7110,5.9,Chibi-Robo! Zip Lash,3DS,6.9,2015-10-09,Platform,Nintendo
7111,5.9,Saint Seiya: Soldiers' Soul,PS4,7.3,2015-10-06,Fighting,Sony
7112,5.9,Big Mutha Truckers,XBOX,4.3,2003-06-20,Racing,Microsoft
7113,5.9,Damascus Gear: Operation Tokyo,VITA,6.7,2015-03-24,Role-Playing,Sony
7114,5.9,Rack N Ruin,PS4,6.6,2015-03-31,Action-Adventure,Sony
7115,5.9,Whacked!,XBOX,6.8,2002-10-08,Party,Microsoft
7116,5.9,L.A. Rush,XBOX,3.0,2005-10-11,Racing,Microsoft
7117,5.9,The Simpsons Game,PSP,6.7,2007-11-05,Platform,Sony
7118,5.9,Davis Cup Tennis,GBA,0.0,2002-10-14,Sports,Nintendo
7119,5.9,Blade Kitten,PS3,6.5,2010-09-21,Action-Adventure,Sony
7120,5.9,TRON: Evolution - Battle Grids,WII,0.0,2010-12-07,Racing,Nintendo
7121,5.9,Super Monkey Ball: Step & Roll,WII,6.3,2010-02-09,Action-Adventure,Nintendo
7122,5.9,Hydrophobia,X360,7.4,2010-09-29,Action-Adventure,Microsoft
7123,5.9,Armored Core: Last Raven,PS2,8.9,2006-06-13,Simulation,Sony
7124,5.9,Green Lantern: Rise of the Manhunters,X360,7.0,2011-06-07,Action-Adventure,Microsoft
7125,5.9,Sonic Riders,GC,7.8,2006-02-21,Racing,Nintendo
7126,5.9,Gladiator Begins,PSP,8.0,2010-09-13,Action-Adventure,Sony
7127,5.9,Disney's Stitch: Experiment 626,PS2,7.9,2002-06-19,Action-Adventure,Sony
7128,5.9,Dynasty Warriors 6 Empires,X360,7.3,2009-06-23,Action-Adventure,Microsoft
7129,5.9,Kyotokei,WII,0.0,2011-08-11,Shooter,Nintendo
7130,5.9,Bionicle Heroes,X360,5.9,2006-11-15,Shooter,Microsoft
7131,5.9,Mount & Blade: Warband,XONE,7.9,2016-09-16,Role-Playing,Microsoft
7132,5.9,Lethal Skies Elite Pilot: Team SW,PS2,0.0,2002-05-31,Simulation,Sony
7133,5.9,ESPN NBA 2Night 2002,PS2,0.0,2002-02-25,Sports,Sony
7134,5.9,The Godfather: Mob Wars,PSP,7.9,2006-09-19,Action-Adventure,Sony
7135,5.9,Platypus,PSP,0.0,2006-11-17,Shooter,Sony
7136,5.9,Rule of Rose,PS2,8.6,2006-09-12,Action-Adventure,Sony
7137,5.9,The Spiderwick Chronicles,X360,0.0,2008-02-05,Action-Adventure,Microsoft
7138,5.9,The Legend of Spyro: Dawn of the Dragon,PS3,6.9,2008-10-21,Platform,Sony
