,ID,Year,per_capita,thousand_tons
690,332,2013,0.2,2406
691,332,2014,0.3,2860
692,340,1975,0.6,1668
693,340,1985,0.4,1907
694,340,1995,0.7,3880
695,340,2005,1.1,7554
696,340,2010,1.1,7976
697,340,2012,1.2,8984
698,340,2013,1.1,9065
699,340,2014,1.2,9472
700,348,1975,7.2,75390
701,348,1985,8.2,86105
702,348,1995,5.8,60370
703,348,2005,5.8,58019
704,348,2010,5.0,50223
705,348,2012,4.5,44583
706,348,2013,4.3,42141
707,348,2014,4.3,42086
708,352,1975,7.4,1617
709,352,1985,6.7,1628
710,352,1995,7.3,1947
711,352,2005,7.5,2230
712,352,2010,6.2,1962
713,352,2012,5.6,1800
714,352,2013,5.8,1900
715,352,2014,6.1,1984
716,356,1975,0.4,252202
717,356,1985,0.6,426674
718,356,1995,0.8,811562
719,356,2005,1.1,1222563
720,356,2010,1.4,1719691
721,356,2012,1.6,2018504
722,356,2013,1.6,2034752
723,356,2014,1.7,2238377
724,360,1975,0.4,53964
725,360,1985,0.7,121246
726,360,1995,1.1,224941
727,360,2005,1.5,341992
728,360,2010,1.8,428760
729,360,2012,2.6,637079
730,360,2013,1.9,490227
731,360,2014,1.8,464176
732,364,1975,4.3,139350
733,364,1985,3.4,160769
734,364,1995,4.6,272942
735,364,2005,6.7,468808
736,364,2010,7.7,573031
737,364,2012,8.0,611758
738,364,2013,8.0,619778
739,364,2014,8.3,649481
740,368,1975,2.8,33157
741,368,1985,2.9,44675
742,368,1995,3.7,74348
743,368,2005,4.1,113523
744,368,2010,3.6,112196
745,368,2012,4.6,152723
746,368,2013,4.8,165506
747,368,2014,4.8,168444
748,372,1975,6.9,22053
749,372,1985,7.6,26725
750,372,1995,9.1,32970
751,372,2005,10.5,43538
752,372,2010,8.7,40055
753,372,2012,7.6,35592
754,372,2013,7.4,34855
755,372,2014,7.3,34066
756,376,1975,5.9,19648
757,376,1985,6.1,24870
758,376,1995,9.6,51100
759,376,2005,8.6,56952
760,376,2010,9.3,68881
761,376,2012,9.8,75529
762,376,2013,8.6,67069
763,376,2014,8.1,64602
764,380,1975,6.2,342311
765,380,1985,6.6,372134
766,380,1995,7.6,430484
767,380,2005,8.1,473384
768,380,2010,6.8,405361
769,380,2012,6.2,369469
770,380,2013,5.8,345318
771,380,2014,5.4,320411
772,388,1975,4.1,8188
773,388,1985,2.2,5046
774,388,1995,3.7,9179
775,388,2005,3.9,10499
776,388,2010,2.7,7297
777,388,2012,2.7,7462
778,388,2013,2.9,8093
779,388,2014,2.7,7422
780,392,1975,7.8,870073
781,392,1985,7.6,915397
782,392,1995,9.5,1183447
783,392,2005,9.8,1239255
784,392,2010,9.2,1171625
785,392,2012,9.7,1230168
786,392,2013,9.8,1246516
787,392,2014,9.6,1214048
788,400,1975,1.2,2494
789,400,1985,3.0,8540
790,400,1995,3.1,13557
791,400,2005,4.0,21060
792,400,2010,3.3,21181
793,400,2012,3.5,24444
794,400,2013,3.4,24389
795,400,2014,3.6,26450
796,398,1995,10.6,169166
797,398,2005,11.7,177329
798,398,2010,15.3,248549
799,398,2012,14.4,242972
800,398,2013,15.4,262847
801,398,2014,14.3,248315
802,404,1975,0.4,4976
803,404,1985,0.2,3770
804,404,1995,0.3,7554
805,404,2005,0.3,8562
806,404,2010,0.3,12174
807,404,2012,0.3,12515
808,404,2013,0.3,13333
809,404,2014,0.3,14287
810,296,1975,0.7,33
811,296,1985,0.3,22
812,296,1995,0.4,29
813,296,2005,0.7,62
814,296,2010,0.6,62
815,296,2012,0.6,62
816,296,2013,0.6,62
817,296,2014,0.6,62
818,414,1975,16.0,16828
819,414,1985,16.7,29160
820,414,1995,33.7,54822
821,414,2005,31.6,71547
822,414,2010,29.3,89625
823,414,2012,29.9,102335
824,414,2013,27.4,98345
825,414,2014,25.4,95408
826,417,1995,1.0,4529
827,417,2005,1.1,5592
828,417,2010,1.2,6384
829,417,2012,1.8,10132
830,417,2013,1.7,9842
831,417,2014,1.7,9608
832,418,1975,0.1,253
833,418,1985,0.1,202
834,418,1995,0.1,348
835,418,2005,0.3,1404
836,418,2010,0.3,1639
837,418,2012,0.3,1698
838,418,2013,0.3,1577
839,418,2014,0.3,1955
840,428,1995,3.8,9443
841,428,2005,3.3,7506
842,428,2010,3.9,8075
843,428,2012,3.5,7063
844,428,2013,3.5,7081
845,428,2014,3.5,6975
846,422,1975,2.3,6432
847,422,1985,2.8,8056
848,422,1995,3.9,13579
849,422,2005,4.0,16208
850,422,2010,4.6,20047
851,422,2012,4.6,22633
852,422,2013,4.3,22581
853,422,2014,4.3,24070
854,426,1995,1.0,1709
855,426,2005,1.0,2013
856,426,2010,1.1,2277
857,426,2012,1.2,2406
858,426,2013,1.2,2435
859,426,2014,1.2,2468
860,430,1975,0.9,1485
861,430,1985,0.3,722
862,430,1995,0.1,326
863,430,2005,0.2,726
864,430,2010,0.2,792
865,430,2012,0.3,1027
866,430,2013,0.2,957
867,430,2014,0.2,935
868,434,1975,4.7,11580
869,434,1985,8.2,31419
870,434,1995,9.6,46021
871,434,2005,9.0,52108
872,434,2010,9.9,61961
873,434,2012,8.4,52684
874,434,2013,9.0,56266
875,434,2014,9.1,56996
876,438,2010,1.5,55
877,438,2012,1.3,48
878,438,2013,1.4,51
879,438,2014,1.1,44
880,440,1995,4.5,16204
881,440,2005,4.1,13902
882,440,2010,4.3,13469
883,440,2012,4.6,13832
884,440,2013,4.3,12640
885,440,2014,4.4,12838
886,442,1975,33.0,11844
887,442,1985,25.0,9168
888,442,1995,20.4,8317
889,442,2005,25.3,11547
890,442,2010,21.6,10968
891,442,2012,20.0,10664
892,442,2013,18.4,10051
893,442,2014,17.3,9659
894,450,1975,0.2,1694
