,ID,Year,Real growth rate,Per capita,In millions
745,304,2015,-2.5,44329.0,2499.0
746,304,2016,6.0,48102.0,2714.0
747,304,2017,1.0,49398.0,2790.0
748,308,1985,8.1,1359.0,136.0
749,308,1995,2.1,2775.0,278.0
750,308,2005,13.3,6755.0,695.0
751,308,2010,-0.5,7366.0,771.0
752,308,2015,6.4,9333.0,997.0
753,308,2016,3.7,9892.0,1062.0
754,308,2017,5.1,10451.0,1127.0
755,320,1985,-0.6,1210.0,9967.0
756,320,1995,5.0,1255.0,13066.0
757,320,2005,3.3,2078.0,27211.0
758,320,2010,2.9,2825.0,41338.0
759,320,2015,4.1,3924.0,63767.0
760,320,2016,3.1,4141.0,68663.0
761,320,2017,2.8,4471.0,75620.0
762,324,1985,5.0,560.0,2848.0
763,324,1995,4.7,668.0,5260.0
764,324,2005,3.0,420.0,4063.0
765,324,2010,4.8,635.0,6853.0
766,324,2015,3.8,727.0,8794.0
767,324,2016,10.5,701.0,8694.0
768,324,2017,8.2,803.0,10208.0
769,624,1985,4.3,462.0,415.0
770,624,1995,4.0,703.0,800.0
771,624,2005,4.3,425.0,587.0
772,624,2010,4.6,546.0,849.0
773,624,2015,6.1,592.0,1047.0
774,624,2016,6.3,649.0,1178.0
775,624,2017,5.9,724.0,1347.0
776,328,1985,2.4,956.0,737.0
777,328,1995,5.0,1302.0,991.0
778,328,2005,-2.0,1752.0,1315.0
779,328,2010,4.1,3026.0,2259.0
780,328,2015,3.1,4120.0,3166.0
781,328,2016,3.4,4531.0,3504.0
782,328,2017,2.2,4555.0,3543.0
783,332,1985,0.6,417.0,2665.0
784,332,1995,9.9,345.0,2696.0
785,332,2005,1.8,448.0,4154.0
786,332,2010,-5.5,671.0,6708.0
787,332,2015,1.2,780.0,8355.0
788,332,2016,1.5,700.0,7598.0
789,332,2017,1.2,776.0,8521.0
790,340,1985,4.2,1014.0,4342.0
791,340,1995,4.1,828.0,4724.0
792,340,2005,6.1,1323.0,9757.0
793,340,2010,3.7,1933.0,15839.0
794,340,2015,3.8,2341.0,20980.0
795,340,2016,3.8,2375.0,21644.0
796,340,2017,4.8,2480.0,22979.0
797,348,1985,-0.3,2244.0,23709.0
798,348,1995,1.5,4486.0,46432.0
799,348,2005,4.4,11207.0,113035.0
800,348,2010,0.7,13187.0,130923.0
801,348,2015,3.5,12579.0,123074.0
802,348,2016,2.3,12920.0,126008.0
803,348,2017,4.1,14376.0,139761.0
804,352,1985,3.3,12169.0,2940.0
805,352,1995,0.1,26223.0,7018.0
806,352,2005,6.3,56996.0,16813.0
807,352,2010,-3.4,42718.0,13684.0
808,352,2015,4.5,52519.0,17344.0
809,352,2016,7.4,62309.0,20716.0
810,352,2017,4.0,73060.0,24477.0
811,356,1985,5.5,285.0,222557.0
812,356,1995,7.6,378.0,362877.0
